input,amount,currency,amount_normalized,timeframe,timeframe_normalized_days,purpose
I'm aiming to save $5000 in this summer for vacation.,5000,USD,5000.0,this summer,,vacation
Save 25k for car in Oct 15 2025.,25000,INR,25000.0,Oct 15 2025,0,car
Can I save Rs. 25000 over the next in 5 months for car?,25000,INR,25000.0,in 5 months,150,car
I need ₹10000 by by the end of December to buy a tuition.,10000,INR,10000.0,by the end of December,,tuition
Can I save 500 over the next within 2 weeks for rent?,500,INR,500.0,within 2 weeks,14,rent
Want to set aside $5000 for deposit next July 2026.,5000,USD,5000.0,July 2026,246,deposit
"I need 10,000 by in 10 days to buy a wedding.",10000,INR,10000.0,in 10 days,10,wedding
"I'm aiming to save 2,500 in Oct 15 2025 for rent.",2500,INR,2500.0,Oct 15 2025,0,rent
Can I save Rs. 1200 over the next this summer for car?,1200,INR,1200.0,this summer,,car
Need $5000 for mobile by in 10 days.,5000,USD,5000.0,in 10 days,10,phone
Want to set aside 25k for gift next next year.,25000,INR,25000.0,next year,365,gift
"I need 50,000 by 25-12-2025 to buy a gift.",50000,INR,50000.0,25-12-2025,58,gift
I need $25000 by 31 Dec 2025 to buy a laptop.,25000,USD,25000.0,31 Dec 2025,64,laptop
Want to set aside Rs. 1200 for phone next in 5 months.,1200,INR,1200.0,in 5 months,150,phone
Want to set aside Rs. 500 for mobile next by 15 Oct 2025.,500,INR,500.0,by 15 Oct 2025,,phone
"Can I save 50,000 over the next in 6 months for laptop?",50000,INR,50000.0,in 6 months,180,laptop
Save ten thousand for smartphone in this summer.,10000,INR,10000.0,this summer,,phone
"I need 10,000 by 25-12-2025 to buy a tuition.",10000,INR,10000.0,25-12-2025,58,tuition
Need 1200 for deposit by July 2026.,1200,INR,1200.0,next year,365,deposit
Planning to put ₹100000 towards my mobile within in 6 months.,100000,INR,100000.0,in 6 months,180,phone
I'm aiming to save $2500 in 1 Jan 2026 for rent.,2500,USD,2500.0,1 Jan 2026,65,rent
Can I save $500 over the next within 3 weeks for rent?,500,USD,500.0,within 3 weeks,21,rent
Can I save Rs. 25000 over the next in 6 months for phone?,25000,INR,25000.0,in 6 months,180,phone
Need Rs. 25000 for rent by in 10 days.,25000,INR,25000.0,in 10 days,10,rent
Gotta save $100000 for bike ASAP.,100000,USD,100000.0,in 5 months,150,bike
Planning to put Rs. 1200 towards my laptop within within 3 weeks.,1200,INR,1200.0,within 3 weeks,21,laptop
Can I save 5k over the next 15 Oct 2025 for deposit?,5000,INR,5000.0,15 Oct 2025,0,deposit
Need 25k for car by Oct 15 2025.,25000,INR,25000.0,next year,365,car
Gotta save $2500 for smartphone ASAP.,2500,USD,2500.0,in 6 months,180,phone
Can I save Rs. 5000 over the next 1 Jan 2026 for medical?,5000,INR,5000.0,1 Jan 2026,65,medical
"I need 10,000 by July 2026 to buy a car.",10000,INR,10000.0,July 2026,246,car
I'm aiming to save 10k in by 15 Oct 2025 for car.,10000,INR,10000.0,by 15 Oct 2025,,car
Can I save ₹5000 over the next by 15 Oct 2025 for laptop?,5000,INR,5000.0,by 15 Oct 2025,,laptop
Save ₹500 for medical in by 15 Oct 2025.,500,INR,500.0,by 15 Oct 2025,,medical
Save Rs. 25000 for groceries in next year.,25000,INR,25000.0,next year,365,groceries
Gotta save Rs. 50000 for gift ASAP.,50000,INR,50000.0,next year,365,gift
Planning to put ₹5000 towards my wedding within in 6 months.,5000,INR,5000.0,in 6 months,180,wedding
Planning to put $5000 towards my emergency fund within within 2 weeks.,5000,USD,5000.0,within 2 weeks,14,emergency fund
Need $2500 for medical by 15 Oct 2025.,2500,USD,2500.0,15 Oct 2025,0,medical
Want to set aside fifteen thousand for deposit next July 2026.,15000,INR,15000.0,July 2026,246,deposit
I'm aiming to save $500 in in 6 months for tuition.,500,USD,500.0,in 6 months,180,tuition
I need 500 by 15 Oct 2025 to buy a rent.,500,INR,500.0,15 Oct 2025,0,rent
Planning to put Rs. 100000 towards my vacation within next year.,100000,INR,100000.0,next year,365,vacation
"Need 2,500 for bike by July 2026.",2500,INR,2500.0,July 2026,246,bike
I'm aiming to save $10000 in in 10 days for mobile.,10000,USD,10000.0,in 10 days,10,phone
Planning to put $50000 towards my medical within ASAP.,50000,USD,50000.0,ASAP,7,medical
I'm aiming to save ₹1200 in over the next 3 months for smartphone.,1200,INR,1200.0,over the next 3 months,90,phone
Planning to put Rs. 10000 towards my mobile within this summer.,10000,INR,10000.0,this summer,,phone
I'm aiming to save ₹1200 in over the next 3 months for gift.,1200,INR,1200.0,over the next 3 months,90,gift
"Planning to put 10,000 towards my bike within Oct 15 2025.",10000,INR,10000.0,Oct 15 2025,0,bike
I'm aiming to save $10000 in 31 Dec 2025 for deposit.,10000,USD,10000.0,31 Dec 2025,64,deposit
Want to set aside $1200 for car next 15 Oct 2025.,1200,USD,1200.0,15 Oct 2025,0,car
"Planning to put 5,000 towards my rent within by 15 Oct 2025.",5000,INR,5000.0,by 15 Oct 2025,,rent
Planning to put 2500 towards my wedding within 15 Oct 2025.,2500,INR,2500.0,15 Oct 2025,0,wedding
Want to set aside $1200 for deposit next Oct 15 2025.,1200,USD,1200.0,Oct 15 2025,0,deposit
Planning to put 25k towards my vacation within in 5 months.,25000,INR,25000.0,in 5 months,150,vacation
I'm aiming to save 100000 in by 15 Oct 2025 for groceries.,100000,INR,100000.0,by 15 Oct 2025,,groceries
Can I save $500 over the next 1 Jan 2026 for gift?,500,USD,500.0,1 Jan 2026,65,gift
I need Rs. 2500 by next year to buy a medical.,2500,INR,2500.0,next year,365,medical
I need ₹500 by in 6 months to buy a tuition.,500,INR,500.0,in 6 months,180,tuition
Gotta save Rs. 2500 for vacation ASAP.,2500,INR,2500.0,1 Jan 2026,65,vacation
"Gotta save 10,000 for laptop ASAP.",10000,INR,10000.0,Oct 15 2025,0,laptop
Can I save Rs. 10000 over the next in 5 months for smartphone?,10000,INR,10000.0,in 5 months,150,phone
Planning to put 500 towards my bike within next year.,500,INR,500.0,next year,365,bike
Planning to put ₹10000 towards my trip within 25-12-2025.,10000,INR,10000.0,25-12-2025,58,trip
"I'm aiming to save 10,000 in by 15 Oct 2025 for rent.",10000,INR,10000.0,by 15 Oct 2025,,rent
Can I save $100000 over the next Oct 15 2025 for medical?,100000,USD,100000.0,Oct 15 2025,0,medical
Want to set aside five k for medical next next year.,5,INR,5.0,next year,365,medical
I'm aiming to save 25k in this summer for smartphone.,25000,INR,25000.0,this summer,,phone
Planning to put 10000 towards my trip within Oct 15 2025.,10000,INR,10000.0,Oct 15 2025,0,trip
Gotta save 1200 for car ASAP.,1200,INR,1200.0,within 3 weeks,21,car
Planning to put Rs. 10000 towards my savings within over the next 3 months.,10000,INR,10000.0,over the next 3 months,90,savings
I'm aiming to save ₹10000 in next year for deposit.,10000,INR,10000.0,next year,365,deposit
I'm aiming to save 50000 in 1 Jan 2026 for car.,50000,INR,50000.0,1 Jan 2026,65,car
Need ₹25000 for mobile by 25-12-2025.,25000,INR,25000.0,ASAP,7,phone
I'm aiming to save Rs. 500 in in 5 months for phone.,500,INR,500.0,in 5 months,150,phone
"I need 50,000 by ASAP to buy a phone.",50000,INR,50000.0,ASAP,7,phone
I need ₹5000 by 31 Dec 2025 to buy a gift.,5000,INR,5000.0,31 Dec 2025,64,gift
Planning to put Rs. 50000 towards my phone within 31 Dec 2025.,50000,INR,50000.0,31 Dec 2025,64,phone
"I'm aiming to save 10,000 in Oct 15 2025 for car.",10000,INR,10000.0,Oct 15 2025,0,car
I'm aiming to save ₹2500 in ASAP for phone.,2500,INR,2500.0,ASAP,7,phone
Need Rs. 2500 for tuition by within 3 weeks.,2500,INR,2500.0,within 3 weeks,21,tuition
Can I save 50000 over the next by the end of December for mobile?,50000,INR,50000.0,by the end of December,,phone
Gotta save 5000 for gift ASAP.,5000,INR,5000.0,within 3 weeks,21,gift
Gotta save five k for trip ASAP.,5,INR,5.0,31 Dec 2025,64,trip
Gotta save $10000 for trip ASAP.,10000,USD,10000.0,July 2026,246,trip
"I'm aiming to save 2,500 in in 10 days for groceries.",2500,INR,2500.0,in 10 days,10,groceries
"Planning to put 50,000 towards my mobile within by the end of December.",50000,INR,50000.0,by the end of December,,phone
I'm aiming to save 50k in July 2026 for emergency fund.,50000,INR,50000.0,July 2026,246,emergency fund
I'm aiming to save $50000 in in 6 months for trip.,50000,USD,50000.0,in 6 months,180,trip
"Save 1,200 for smartphone in in 10 days.",1200,INR,1200.0,in 10 days,10,phone
I need 100000 by Oct 15 2025 to buy a car.,100000,INR,100000.0,Oct 15 2025,0,car
Want to set aside ₹100000 for laptop next within 3 weeks.,100000,INR,100000.0,within 3 weeks,21,laptop
I need Rs. 5000 by by the end of December to buy a groceries.,5000,INR,5000.0,by the end of December,,groceries
Can I save 10k over the next by the end of December for rent?,10000,INR,10000.0,by the end of December,,rent
I need ₹5000 by next year to buy a mobile.,5000,INR,5000.0,next year,365,phone
I need Rs. 10000 by 31 Dec 2025 to buy a trip.,10000,INR,10000.0,31 Dec 2025,64,trip
I'm aiming to save $5000 in in 6 months for savings.,5000,USD,5000.0,in 6 months,180,savings
Want to set aside ₹50000 for groceries next in 6 months.,50000,INR,50000.0,in 6 months,180,groceries
Can I save Rs. 25000 over the next within 3 weeks for wedding?,25000,INR,25000.0,within 3 weeks,21,wedding
Planning to put ten thousand towards my mobile within within 2 weeks.,10000,INR,10000.0,within 2 weeks,14,phone
Can I save twenty five thousand rupees over the next 15 Oct 2025 for mobile?,25000,INR,25000.0,15 Oct 2025,0,phone
Want to set aside 25k for emergency fund next in 5 months.,25000,INR,25000.0,in 5 months,150,emergency fund
Save 2500 for medical in in 10 days.,2500,INR,2500.0,in 10 days,10,medical
I need five k by July 2026 to buy a vacation.,5,INR,5.0,July 2026,246,vacation
Planning to put Rs. 10000 towards my laptop within 25-12-2025.,10000,INR,10000.0,25-12-2025,58,laptop
I'm aiming to save $100000 in Oct 15 2025 for mobile.,100000,USD,100000.0,Oct 15 2025,0,phone
I need Rs. 25000 by next year to buy a deposit.,25000,INR,25000.0,next year,365,deposit
Can I save 500 over the next in 10 days for emergency fund?,500,INR,500.0,in 10 days,10,emergency fund
Can I save 50000 over the next in 5 months for deposit?,50000,INR,50000.0,in 5 months,150,deposit
Save ₹5000 for wedding in 15 Oct 2025.,5000,INR,5000.0,15 Oct 2025,0,wedding
Save Rs. 500 for medical in next year.,500,INR,500.0,next year,365,medical
Need ₹25000 for medical by July 2026.,25000,INR,25000.0,ASAP,7,medical
I need 100k by 31 Dec 2025 to buy a laptop.,100000,INR,100000.0,31 Dec 2025,64,laptop
Can I save Rs. 50000 over the next 1 Jan 2026 for bike?,50000,INR,50000.0,1 Jan 2026,65,bike
"I'm aiming to save 25,000 in this summer for vacation.",25000,INR,25000.0,this summer,,vacation
Want to set aside Rs. 500 for groceries next July 2026.,500,INR,500.0,July 2026,246,groceries
Want to set aside 100000 for trip next 1 Jan 2026.,100000,INR,100000.0,1 Jan 2026,65,trip
Save $10000 for mobile in next year.,10000,USD,10000.0,next year,365,phone
Need ₹25000 for groceries by 15 Oct 2025.,25000,INR,25000.0,15 Oct 2025,0,groceries
Save 1200 for laptop in Oct 15 2025.,1200,INR,1200.0,Oct 15 2025,0,laptop
"I need 10,000 by in 5 months to buy a tuition.",10000,INR,10000.0,in 5 months,150,tuition
"I'm aiming to save 10,000 in by 15 Oct 2025 for phone.",10000,INR,10000.0,by 15 Oct 2025,,phone
Gotta save $50000 for gift ASAP.,50000,USD,50000.0,Oct 15 2025,0,gift
Want to set aside fifteen thousand for medical next Oct 15 2025.,15000,INR,15000.0,Oct 15 2025,0,medical
I'm aiming to save 50k in within 3 weeks for rent.,50000,INR,50000.0,within 3 weeks,21,rent
"Save 5,000 for vacation in 15 Oct 2025.",5000,INR,5000.0,15 Oct 2025,0,vacation
Want to set aside 50000 for bike next within 3 weeks.,50000,INR,50000.0,within 3 weeks,21,bike
I'm aiming to save 5k in this summer for deposit.,5000,INR,5000.0,this summer,,deposit
Want to set aside Rs. 25000 for trip next within 3 weeks.,25000,INR,25000.0,within 3 weeks,21,trip
Save ₹10000 for trip in over the next 3 months.,10000,INR,10000.0,over the next 3 months,90,trip
I'm aiming to save $25000 in this summer for groceries.,25000,USD,25000.0,this summer,,groceries
Save $1200 for savings in 15 Oct 2025.,1200,USD,1200.0,15 Oct 2025,0,savings
Planning to put ₹500 towards my trip within next year.,500,INR,500.0,next year,365,trip
I need $1200 by within 3 weeks to buy a laptop.,1200,USD,1200.0,within 3 weeks,21,laptop
I need Rs. 50000 by July 2026 to buy a emergency fund.,50000,INR,50000.0,July 2026,246,emergency fund
I need Rs. 10000 by in 6 months to buy a rent.,10000,INR,10000.0,in 6 months,180,rent
"Planning to put 100,000 towards my mobile within in 6 months.",100000,INR,100000.0,in 6 months,180,phone
"Save 50,000 for deposit in in 6 months.",50000,INR,50000.0,in 6 months,180,deposit
I'm aiming to save fifteen thousand in in 6 months for groceries.,15000,INR,15000.0,in 6 months,180,groceries
Save ₹10000 for savings in next year.,10000,INR,10000.0,next year,365,savings
Save 50000 for medical in next year.,50000,INR,50000.0,next year,365,medical
I need $100000 by 1 Jan 2026 to buy a emergency fund.,100000,USD,100000.0,1 Jan 2026,65,emergency fund
Save 1200 for medical in July 2026.,1200,INR,1200.0,July 2026,246,medical
Can I save ₹10000 over the next 15 Oct 2025 for bike?,10000,INR,10000.0,15 Oct 2025,0,bike
Gotta save ₹1200 for medical ASAP.,1200,INR,1200.0,next year,365,medical
Can I save 50000 over the next this summer for emergency fund?,50000,INR,50000.0,this summer,,emergency fund
I'm aiming to save 25000 in over the next 3 months for vacation.,25000,INR,25000.0,over the next 3 months,90,vacation
Save ₹500 for smartphone in in 5 months.,500,INR,500.0,in 5 months,150,phone
Gotta save twenty five thousand rupees for groceries ASAP.,25000,INR,25000.0,within 2 weeks,14,groceries
Want to set aside twenty five thousand rupees for wedding next this summer.,25000,INR,25000.0,this summer,,wedding
Gotta save fifteen thousand for savings ASAP.,15000,INR,15000.0,next year,365,savings
I'm aiming to save $100000 in 1 Jan 2026 for wedding.,100000,USD,100000.0,1 Jan 2026,65,wedding
I'm aiming to save Rs. 500 in 31 Dec 2025 for bike.,500,INR,500.0,31 Dec 2025,64,bike
Planning to put 100k towards my emergency fund within in 6 months.,100000,INR,100000.0,in 6 months,180,emergency fund
Need Rs. 25000 for car by within 2 weeks.,25000,INR,25000.0,within 2 weeks,14,car
I need $50000 by by the end of December to buy a medical.,50000,USD,50000.0,by the end of December,,medical
Can I save $25000 over the next in 10 days for trip?,25000,USD,25000.0,in 10 days,10,trip
I'm aiming to save 1200 in 1 Jan 2026 for laptop.,1200,INR,1200.0,1 Jan 2026,65,laptop
I'm aiming to save Rs. 1200 in 25-12-2025 for trip.,1200,INR,1200.0,25-12-2025,58,trip
Gotta save $50000 for deposit ASAP.,50000,USD,50000.0,by 15 Oct 2025,,deposit
"Planning to put 50,000 towards my phone within over the next 3 months.",50000,INR,50000.0,over the next 3 months,90,phone
Gotta save ₹50000 for rent ASAP.,50000,INR,50000.0,1 Jan 2026,65,rent
"Can I save 25,000 over the next by 15 Oct 2025 for laptop?",25000,INR,25000.0,by 15 Oct 2025,,laptop
"Save 50,000 for deposit in within 2 weeks.",50000,INR,50000.0,within 2 weeks,14,deposit
Planning to put ten thousand towards my vacation within over the next 3 months.,10000,INR,10000.0,over the next 3 months,90,vacation
Can I save 5000 over the next next year for gift?,5000,INR,5000.0,next year,365,gift
Can I save Rs. 2500 over the next in 10 days for trip?,2500,INR,2500.0,in 10 days,10,trip
Need $50000 for medical by 31 Dec 2025.,50000,USD,50000.0,31 Dec 2025,64,medical
Save ₹10000 for tuition in in 5 months.,10000,INR,10000.0,in 5 months,150,tuition
"Gotta save 2,500 for mobile ASAP.",2500,INR,2500.0,over the next 3 months,90,phone
Gotta save Rs. 5000 for wedding ASAP.,5000,INR,5000.0,this summer,,wedding
"Gotta save 50,000 for deposit ASAP.",50000,INR,50000.0,in 5 months,150,deposit
I'm aiming to save 1200 in 31 Dec 2025 for medical.,1200,INR,1200.0,31 Dec 2025,64,medical
Want to set aside 5000 for vacation next 1 Jan 2026.,5000,INR,5000.0,1 Jan 2026,65,vacation
Need ₹5000 for laptop by July 2026.,5000,INR,5000.0,July 2026,246,laptop
Planning to put 5000 towards my phone within by the end of December.,5000,INR,5000.0,by the end of December,,phone
Want to set aside ₹2500 for wedding next within 2 weeks.,2500,INR,2500.0,within 2 weeks,14,wedding
Can I save 10000 over the next over the next 3 months for phone?,10000,INR,10000.0,over the next 3 months,90,phone
I'm aiming to save ₹50000 in in 6 months for tuition.,50000,INR,50000.0,in 6 months,180,tuition
Need 50000 for groceries by in 5 months.,50000,INR,50000.0,in 5 months,150,groceries
Planning to put Rs. 25000 towards my wedding within by the end of December.,25000,INR,25000.0,by the end of December,,wedding
I'm aiming to save 100000 in in 5 months for groceries.,100000,INR,100000.0,in 5 months,150,groceries
I need 10k by within 2 weeks to buy a trip.,10000,INR,10000.0,within 2 weeks,14,trip
"Need 5,000 for vacation by 25-12-2025.",5000,INR,5000.0,by the end of December,,vacation
Want to set aside Rs. 2500 for smartphone next over the next 3 months.,2500,INR,2500.0,over the next 3 months,90,phone
Save Rs. 1200 for laptop in in 6 months.,1200,INR,1200.0,in 6 months,180,laptop
Can I save 500 over the next within 3 weeks for smartphone?,500,INR,500.0,within 3 weeks,21,phone
Need $500 for phone by by 15 Oct 2025.,500,USD,500.0,by 15 Oct 2025,,phone
Gotta save 2500 for bike ASAP.,2500,INR,2500.0,by the end of December,,bike
Gotta save 25k for wedding ASAP.,25000,INR,25000.0,within 2 weeks,14,wedding
I need ₹50000 by within 3 weeks to buy a groceries.,50000,INR,50000.0,within 3 weeks,21,groceries
Need 25k for trip by in 5 months.,25000,INR,25000.0,in 5 months,150,trip
Can I save ₹25000 over the next within 2 weeks for deposit?,25000,INR,25000.0,within 2 weeks,14,deposit
Want to set aside twenty five thousand rupees for phone next ASAP.,25000,INR,25000.0,ASAP,7,phone
Need 10000 for savings by July 2026.,10000,INR,10000.0,July 2026,246,savings
"I'm aiming to save 25,000 in in 5 months for emergency fund.",25000,INR,25000.0,in 5 months,150,emergency fund
Need ₹500 for deposit by in 5 months.,500,INR,500.0,in 5 months,150,deposit
Can I save $25000 over the next this summer for medical?,25000,USD,25000.0,this summer,,medical
Gotta save 25000 for deposit ASAP.,25000,INR,25000.0,over the next 3 months,90,deposit
Can I save $2500 over the next in 6 months for rent?,2500,USD,2500.0,in 6 months,180,rent
Gotta save $10000 for trip ASAP.,10000,USD,10000.0,within 3 weeks,21,trip
Save 100k for car in in 10 days.,100000,INR,100000.0,in 10 days,10,car
I'm aiming to save $1200 in 31 Dec 2025 for medical.,1200,USD,1200.0,31 Dec 2025,64,medical
"I need 50,000 by July 2026 to buy a emergency fund.",50000,INR,50000.0,July 2026,246,emergency fund
Gotta save Rs. 25000 for trip ASAP.,25000,INR,25000.0,this summer,,trip
"Save 5,000 for savings in Oct 15 2025.",5000,INR,5000.0,Oct 15 2025,0,savings
Planning to put Rs. 50000 towards my medical within next year.,50000,INR,50000.0,next year,365,medical
Need $25000 for medical by in 5 months.,25000,USD,25000.0,in 5 months,150,medical
I'm aiming to save 25k in Oct 15 2025 for bike.,25000,INR,25000.0,Oct 15 2025,0,bike
Can I save 50000 over the next July 2026 for trip?,50000,INR,50000.0,July 2026,246,trip
Gotta save ₹50000 for tuition ASAP.,50000,INR,50000.0,in 6 months,180,tuition
"Save 5,000 for smartphone in 25-12-2025.",5000,INR,5000.0,25-12-2025,58,phone
"Can I save 2,500 over the next by 15 Oct 2025 for laptop?",2500,INR,2500.0,by 15 Oct 2025,,laptop
Gotta save Rs. 2500 for savings ASAP.,2500,INR,2500.0,1 Jan 2026,65,savings
Planning to put Rs. 25000 towards my gift within in 5 months.,25000,INR,25000.0,in 5 months,150,gift
I'm aiming to save $2500 in next year for deposit.,2500,USD,2500.0,next year,365,deposit
I need 10k by Oct 15 2025 to buy a rent.,10000,INR,10000.0,Oct 15 2025,0,rent
Gotta save 5000 for groceries ASAP.,5000,INR,5000.0,in 6 months,180,groceries
Save ₹50000 for groceries in over the next 3 months.,50000,INR,50000.0,over the next 3 months,90,groceries
"I need 25,000 by in 6 months to buy a gift.",25000,INR,25000.0,in 6 months,180,gift
Want to set aside twenty five thousand rupees for rent next in 6 months.,25000,INR,25000.0,in 6 months,180,rent
Need $500 for phone by within 3 weeks.,500,USD,500.0,within 3 weeks,21,phone
I need $25000 by July 2026 to buy a mobile.,25000,USD,25000.0,July 2026,246,phone
Want to set aside $2500 for smartphone next by the end of December.,2500,USD,2500.0,by the end of December,,phone
I'm aiming to save ten thousand in within 2 weeks for phone.,10000,INR,10000.0,within 2 weeks,14,phone
Want to set aside $100000 for laptop next Oct 15 2025.,100000,USD,100000.0,Oct 15 2025,0,laptop
Need fifteen thousand for vacation by over the next 3 months.,15000,INR,15000.0,over the next 3 months,90,vacation
Need ten thousand for savings by 1 Jan 2026.,10000,INR,10000.0,1 Jan 2026,65,savings
Want to set aside $2500 for bike next within 2 weeks.,2500,USD,2500.0,within 2 weeks,14,bike
I need $25000 by ASAP to buy a bike.,25000,USD,25000.0,ASAP,7,bike
"I need 5,000 by next year to buy a smartphone.",5000,INR,5000.0,next year,365,phone
I need $100000 by over the next 3 months to buy a tuition.,100000,USD,100000.0,over the next 3 months,90,tuition
Planning to put $5000 towards my mobile within in 10 days.,5000,USD,5000.0,in 10 days,10,phone
Gotta save 5000 for rent ASAP.,5000,INR,5000.0,July 2026,246,rent
Save 25000 for smartphone in 31 Dec 2025.,25000,INR,25000.0,31 Dec 2025,64,phone
Can I save ₹2500 over the next by 15 Oct 2025 for bike?,2500,INR,2500.0,by 15 Oct 2025,,bike
Need $50000 for trip by 31 Dec 2025.,50000,USD,50000.0,by the end of December,,trip
"Save 5,000 for tuition in 31 Dec 2025.",5000,INR,5000.0,31 Dec 2025,64,tuition
Want to set aside ₹50000 for gift next this summer.,50000,INR,50000.0,this summer,,gift
Want to set aside Rs. 1200 for car next within 2 weeks.,1200,INR,1200.0,within 2 weeks,14,car
Can I save $100000 over the next July 2026 for phone?,100000,USD,100000.0,July 2026,246,phone
Save ₹25000 for phone in Oct 15 2025.,25000,INR,25000.0,Oct 15 2025,0,phone
Gotta save ₹100000 for car ASAP.,100000,INR,100000.0,by the end of December,,car
"Planning to put 25,000 towards my trip within ASAP.",25000,INR,25000.0,ASAP,7,trip
I'm aiming to save ten thousand in in 6 months for trip.,10000,INR,10000.0,in 6 months,180,trip
I'm aiming to save Rs. 1200 in in 6 months for bike.,1200,INR,1200.0,in 6 months,180,bike
Save five k for deposit in in 5 months.,5,INR,5.0,in 5 months,150,deposit
I'm aiming to save ten thousand in next year for gift.,10000,INR,10000.0,next year,365,gift
Want to set aside twenty five thousand rupees for emergency fund next July 2026.,25000,INR,25000.0,July 2026,246,emergency fund
I'm aiming to save Rs. 5000 in 15 Oct 2025 for gift.,5000,INR,5000.0,15 Oct 2025,0,gift
Can I save 100000 over the next in 5 months for groceries?,100000,INR,100000.0,in 5 months,150,groceries
Planning to put five k towards my wedding within by 15 Oct 2025.,5,INR,5.0,by 15 Oct 2025,,wedding
Can I save twenty five thousand rupees over the next over the next 3 months for emergency fund?,25000,INR,25000.0,over the next 3 months,90,emergency fund
Want to set aside 10k for vacation next by the end of December.,10000,INR,10000.0,by the end of December,,vacation
Planning to put Rs. 50000 towards my gift within by 15 Oct 2025.,50000,INR,50000.0,by 15 Oct 2025,,gift
Need ₹5000 for bike by 25-12-2025.,5000,INR,5000.0,25-12-2025,58,bike
Gotta save Rs. 1200 for phone ASAP.,1200,INR,1200.0,25-12-2025,58,phone
I'm aiming to save ₹500 in in 5 months for tuition.,500,INR,500.0,in 5 months,150,tuition
Planning to put Rs. 100000 towards my phone within within 2 weeks.,100000,INR,100000.0,within 2 weeks,14,phone
Need 25000 for gift by 25-12-2025.,25000,INR,25000.0,by the end of December,,gift
Need ₹100000 for mobile by Oct 15 2025.,100000,INR,100000.0,ASAP,7,phone
Gotta save ₹25000 for savings ASAP.,25000,INR,25000.0,in 5 months,150,savings
I'm aiming to save Rs. 100000 in within 2 weeks for vacation.,100000,INR,100000.0,within 2 weeks,14,vacation
Gotta save Rs. 50000 for deposit ASAP.,50000,INR,50000.0,31 Dec 2025,64,deposit
I need fifteen thousand by next year to buy a wedding.,15000,INR,15000.0,next year,365,wedding
Need Rs. 5000 for bike by within 2 weeks.,5000,INR,5000.0,within 2 weeks,14,bike
Want to set aside 5000 for vacation next by the end of December.,5000,INR,5000.0,by the end of December,,vacation
I'm aiming to save Rs. 1200 in in 5 months for vacation.,1200,INR,1200.0,in 5 months,150,vacation
Can I save $100000 over the next by the end of December for deposit?,100000,USD,100000.0,by the end of December,,deposit
I'm aiming to save Rs. 100000 in 25-12-2025 for smartphone.,100000,INR,100000.0,25-12-2025,58,phone
I need ten thousand by Oct 15 2025 to buy a laptop.,10000,INR,10000.0,Oct 15 2025,0,laptop
"Gotta save 10,000 for groceries ASAP.",10000,INR,10000.0,25-12-2025,58,groceries
Need ₹25000 for medical by July 2026.,25000,INR,25000.0,July 2026,246,medical
"Want to set aside 10,000 for car next within 3 weeks.",10000,INR,10000.0,within 3 weeks,21,car
Need 25k for vacation by by 15 Oct 2025.,25000,INR,25000.0,by 15 Oct 2025,,vacation
I'm aiming to save 10k in Oct 15 2025 for tuition.,10000,INR,10000.0,Oct 15 2025,0,tuition
I need ₹25000 by in 6 months to buy a phone.,25000,INR,25000.0,in 6 months,180,phone
Save 500 for gift in ASAP.,500,INR,500.0,ASAP,7,gift
Save Rs. 5000 for wedding in this summer.,5000,INR,5000.0,this summer,,wedding
Save 5k for mobile in July 2026.,5000,INR,5000.0,July 2026,246,phone
Planning to put Rs. 1200 towards my phone within next year.,1200,INR,1200.0,next year,365,phone
Gotta save 25000 for car ASAP.,25000,INR,25000.0,next year,365,car
Gotta save 25000 for medical ASAP.,25000,INR,25000.0,this summer,,medical
Want to set aside ten thousand for phone next within 3 weeks.,10000,INR,10000.0,within 3 weeks,21,phone
Planning to put 25000 towards my groceries within 1 Jan 2026.,25000,INR,25000.0,1 Jan 2026,65,groceries
Planning to put 50000 towards my tuition within 25-12-2025.,50000,INR,50000.0,25-12-2025,58,tuition
"I need 5,000 by 25-12-2025 to buy a trip.",5000,INR,5000.0,25-12-2025,58,trip
Planning to put 50000 towards my gift within next year.,50000,INR,50000.0,next year,365,gift
Can I save 100k over the next next year for wedding?,100000,INR,100000.0,next year,365,wedding
I'm aiming to save $10000 in within 2 weeks for phone.,10000,USD,10000.0,within 2 weeks,14,phone
Gotta save 100000 for mobile ASAP.,100000,INR,100000.0,in 10 days,10,phone
Gotta save ₹100000 for deposit ASAP.,100000,INR,100000.0,next year,365,deposit
Want to set aside ₹100000 for deposit next 15 Oct 2025.,100000,INR,100000.0,15 Oct 2025,0,deposit
Need 10k for medical by 25-12-2025.,10000,INR,10000.0,25-12-2025,58,medical
"Need 10,000 for wedding by by 15 Oct 2025.",10000,INR,10000.0,by 15 Oct 2025,,wedding
Want to set aside 100000 for rent next 25-12-2025.,100000,INR,100000.0,25-12-2025,58,rent
"Can I save 5,000 over the next in 6 months for mobile?",5000,INR,5000.0,in 6 months,180,phone
Can I save Rs. 500 over the next in 5 months for laptop?,500,INR,500.0,in 5 months,150,laptop
Can I save Rs. 100000 over the next over the next 3 months for laptop?,100000,INR,100000.0,over the next 3 months,90,laptop
"Planning to put 1,200 towards my deposit within ASAP.",1200,INR,1200.0,ASAP,7,deposit
"I need 25,000 by 1 Jan 2026 to buy a vacation.",25000,INR,25000.0,1 Jan 2026,65,vacation
"Gotta save 50,000 for groceries ASAP.",50000,INR,50000.0,within 3 weeks,21,groceries
