input,amount,currency,amount_normalized,purpose_canonical,timeframe,target_compact
Need one hundred fifty thousand for car by within 3 weeks.,150000,INR,150000.0,car,within 3 weeks,amount:150000;currency:INR;amount_normalized:150000.0;purpose_canonical:car;timeframe:within 3 weeks
Planning to put one fifty thousand towards my travel within by next Christmas.,51000,INR,51000.0,travel,by next Christmas,amount:51000;currency:INR;amount_normalized:51000.0;purpose_canonical:travel;timeframe:by next Christmas
"Need 1,50,000 for gaming rig by before Eid.",150000,INR,150000.0,gaming_pc,before Eid,amount:150000;currency:INR;amount_normalized:150000.0;purpose_canonical:gaming_pc;timeframe:before Eid
I need 150k by in 6 months to buy a bike.,150000,INR,150000.0,bike,in 6 months,amount:150000;currency:INR;amount_normalized:150000.0;purpose_canonical:bike;timeframe:in 6 months
Can I save $150k over the next by New Year for groceries,150000,USD,150000.0,groceries,by New Year,amount:150000;currency:USD;amount_normalized:150000.0;purpose_canonical:groceries;timeframe:by New Year
"Gotta save $2,000 for phone ASAP.",2000,USD,2000.0,phone,within 2 weeks,amount:2000;currency:USD;amount_normalized:2000.0;purpose_canonical:phone;timeframe:within 2 weeks
Gotta save 1.5 lakh for gift ASAP.,150000,INR,150000.0,gift,within 2 weeks,amount:150000;currency:INR;amount_normalized:150000.0;purpose_canonical:gift;timeframe:within 2 weeks
Gotta save one hundred fifty thousand for emergency fund ASAP.,150000,INR,150000.0,emergency_fund,by New Year,amount:150000;currency:INR;amount_normalized:150000.0;purpose_canonical:emergency_fund;timeframe:by New Year
Planning to put fifteen thousand towards my smartphone within in 6 months.,15000,INR,15000.0,phone,in 6 months,amount:15000;currency:INR;amount_normalized:15000.0;purpose_canonical:phone;timeframe:in 6 months
Planning to put ₹150k towards my trip within this summer.,150000,INR,150000.0,travel,this summer,amount:150000;currency:INR;amount_normalized:150000.0;purpose_canonical:travel;timeframe:this summer
Save 150k for gift in in 6 months.,150000,INR,150000.0,gift,in 6 months,amount:150000;currency:INR;amount_normalized:150000.0;purpose_canonical:gift;timeframe:in 6 months
Need one hundred fifty thousand for deposit by by next Christmas.,150000,INR,150000.0,deposit,by next Christmas,amount:150000;currency:INR;amount_normalized:150000.0;purpose_canonical:deposit;timeframe:by next Christmas
Planning to put £500 towards my medical within this summer.,500,GBP,500.0,medical,this summer,amount:500;currency:GBP;amount_normalized:500.0;purpose_canonical:medical;timeframe:this summer
Save £500 for smartphone in within 3 weeks.,500,GBP,500.0,phone,within 3 weeks,amount:500;currency:GBP;amount_normalized:500.0;purpose_canonical:phone;timeframe:within 3 weeks
Save £500 for tuition in before Eid.,500,GBP,500.0,tuition,before Eid,amount:500;currency:GBP;amount_normalized:500.0;purpose_canonical:tuition;timeframe:before Eid
Im aiming to save ₹150k in by New Year for vacation.,150000,INR,150000.0,travel,by New Year,amount:150000;currency:INR;amount_normalized:150000.0;purpose_canonical:travel;timeframe:by New Year
Can I save one fifty thousand over the next by next Christmas for phone,51000,INR,51000.0,phone,by next Christmas,amount:51000;currency:INR;amount_normalized:51000.0;purpose_canonical:phone;timeframe:by next Christmas
Want to set aside £500 for smartphone next within 2 weeks.,500,GBP,500.0,phone,within 2 weeks,amount:500;currency:GBP;amount_normalized:500.0;purpose_canonical:phone;timeframe:within 2 weeks
"Can I save 1,50,000 over the next this summer for car",150000,INR,150000.0,car,this summer,amount:150000;currency:INR;amount_normalized:150000.0;purpose_canonical:car;timeframe:this summer
Gotta save ₹150k for trip ASAP.,150000,INR,150000.0,travel,next year,amount:150000;currency:INR;amount_normalized:150000.0;purpose_canonical:travel;timeframe:next year
Need one hundred fifty thousand for laptop by within 3 weeks.,150000,INR,150000.0,laptop,within 3 weeks,amount:150000;currency:INR;amount_normalized:150000.0;purpose_canonical:laptop;timeframe:within 3 weeks
Want to set aside 2000 USD for pc next by Diwali.,2000,USD,2000.0,gaming_pc,by Diwali,amount:2000;currency:USD;amount_normalized:2000.0;purpose_canonical:gaming_pc;timeframe:by Diwali
"Want to set aside ₹25,000 for rent next by next Christmas.",25000,INR,25000.0,rent,by next Christmas,amount:25000;currency:INR;amount_normalized:25000.0;purpose_canonical:rent;timeframe:by next Christmas
Can I save fifteen thousand over the next by Diwali for groceries,15000,INR,15000.0,groceries,by Diwali,amount:15000;currency:INR;amount_normalized:15000.0;purpose_canonical:groceries;timeframe:by Diwali
Save 2000 USD for gaming pc in this summer.,2000,USD,2000.0,gaming_pc,this summer,amount:2000;currency:USD;amount_normalized:2000.0;purpose_canonical:gaming_pc;timeframe:this summer
Planning to put Rs. 10k towards my emergency fund within in 5 months.,10000,INR,10000.0,emergency_fund,in 5 months,amount:10000;currency:INR;amount_normalized:10000.0;purpose_canonical:emergency_fund;timeframe:in 5 months
Want to set aside £500 for trip next before Eid.,500,GBP,500.0,travel,before Eid,amount:500;currency:GBP;amount_normalized:500.0;purpose_canonical:travel;timeframe:before Eid
Need one hundred fifty thousand for gaming pc by by Diwali.,150000,INR,150000.0,gaming_pc,by Diwali,amount:150000;currency:INR;amount_normalized:150000.0;purpose_canonical:gaming_pc;timeframe:by Diwali
Gotta save 1.5 lakh for emergency fund ASAP.,150000,INR,150000.0,emergency_fund,by 15 Oct 2025,amount:150000;currency:INR;amount_normalized:150000.0;purpose_canonical:emergency_fund;timeframe:by 15 Oct 2025
Save 2000 USD for pc in within 2 weeks.,2000,USD,2000.0,gaming_pc,within 2 weeks,amount:2000;currency:USD;amount_normalized:2000.0;purpose_canonical:gaming_pc;timeframe:within 2 weeks
I need one hundred fifty thousand by by Diwali to buy a trip.,150000,INR,150000.0,travel,by Diwali,amount:150000;currency:INR;amount_normalized:150000.0;purpose_canonical:travel;timeframe:by Diwali
"I need $2,000 by by 15 Oct 2025 to buy a tuition.",2000,USD,2000.0,tuition,by 15 Oct 2025,amount:2000;currency:USD;amount_normalized:2000.0;purpose_canonical:tuition;timeframe:by 15 Oct 2025
"Save 1,50,000 for trip in in 5 months.",150000,INR,150000.0,travel,in 5 months,amount:150000;currency:INR;amount_normalized:150000.0;purpose_canonical:travel;timeframe:in 5 months
Save fifteen thousand for wedding in this summer.,15000,INR,15000.0,wedding,this summer,amount:15000;currency:INR;amount_normalized:15000.0;purpose_canonical:wedding;timeframe:this summer
"Im aiming to save ₹25,000 in this summer for tuition.",25000,INR,25000.0,tuition,this summer,amount:25000;currency:INR;amount_normalized:25000.0;purpose_canonical:tuition;timeframe:this summer
"Gotta save $2,000 for car ASAP.",2000,USD,2000.0,car,by Diwali,amount:2000;currency:USD;amount_normalized:2000.0;purpose_canonical:car;timeframe:by Diwali
Want to set aside fifteen thousand for laptop next in 6 months.,15000,INR,15000.0,laptop,in 6 months,amount:15000;currency:INR;amount_normalized:15000.0;purpose_canonical:laptop;timeframe:in 6 months
Im aiming to save ₹150k in within 2 weeks for tuition.,150000,INR,150000.0,tuition,within 2 weeks,amount:150000;currency:INR;amount_normalized:150000.0;purpose_canonical:tuition;timeframe:within 2 weeks
Save one fifty thousand for wedding in in 5 months.,51000,INR,51000.0,wedding,in 5 months,amount:51000;currency:INR;amount_normalized:51000.0;purpose_canonical:wedding;timeframe:in 5 months
I need one hundred fifty thousand by within 3 weeks to buy a gaming rig.,150000,INR,150000.0,gaming_pc,within 3 weeks,amount:150000;currency:INR;amount_normalized:150000.0;purpose_canonical:gaming_pc;timeframe:within 3 weeks
Need 150k for travel by within 3 weeks.,150000,INR,150000.0,travel,within 3 weeks,amount:150000;currency:INR;amount_normalized:150000.0;purpose_canonical:travel;timeframe:within 3 weeks
Gotta save €3000 for laptop ASAP.,3000,EUR,3000.0,laptop,before Eid,amount:3000;currency:EUR;amount_normalized:3000.0;purpose_canonical:laptop;timeframe:before Eid
I need ₹150k by in 5 months to buy a bike.,150000,INR,150000.0,bike,in 5 months,amount:150000;currency:INR;amount_normalized:150000.0;purpose_canonical:bike;timeframe:in 5 months
Save Rs. 10k for travel in by Diwali.,10000,INR,10000.0,travel,by Diwali,amount:10000;currency:INR;amount_normalized:10000.0;purpose_canonical:travel;timeframe:by Diwali
Save £500 for medical in in 5 months.,500,GBP,500.0,medical,in 5 months,amount:500;currency:GBP;amount_normalized:500.0;purpose_canonical:medical;timeframe:in 5 months
Planning to put 150k towards my mobile within by New Year.,150000,INR,150000.0,phone,by New Year,amount:150000;currency:INR;amount_normalized:150000.0;purpose_canonical:phone;timeframe:by New Year
Gotta save £500 for tuition ASAP.,500,GBP,500.0,tuition,in 6 months,amount:500;currency:GBP;amount_normalized:500.0;purpose_canonical:tuition;timeframe:in 6 months
Planning to put €3000 towards my laptop within by 15 Oct 2025.,3000,EUR,3000.0,laptop,by 15 Oct 2025,amount:3000;currency:EUR;amount_normalized:3000.0;purpose_canonical:laptop;timeframe:by 15 Oct 2025
Can I save Rs. 10k over the next by next Christmas for rent,10000,INR,10000.0,rent,by next Christmas,amount:10000;currency:INR;amount_normalized:10000.0;purpose_canonical:rent;timeframe:by next Christmas
Planning to put £500 towards my groceries within within 3 weeks.,500,GBP,500.0,groceries,within 3 weeks,amount:500;currency:GBP;amount_normalized:500.0;purpose_canonical:groceries;timeframe:within 3 weeks
"Planning to put 1,50,000 towards my mobile within this summer.",150000,INR,150000.0,phone,this summer,amount:150000;currency:INR;amount_normalized:150000.0;purpose_canonical:phone;timeframe:this summer
Im aiming to save ₹150k in by 15 Oct 2025 for mobile.,150000,INR,150000.0,phone,by 15 Oct 2025,amount:150000;currency:INR;amount_normalized:150000.0;purpose_canonical:phone;timeframe:by 15 Oct 2025
Im aiming to save 2000 USD in next year for mobile.,2000,USD,2000.0,phone,next year,amount:2000;currency:USD;amount_normalized:2000.0;purpose_canonical:phone;timeframe:next year
I need 2000 USD by in 5 months to buy a emergency fund.,2000,USD,2000.0,emergency_fund,in 5 months,amount:2000;currency:USD;amount_normalized:2000.0;purpose_canonical:emergency_fund;timeframe:in 5 months
Save $150k for gaming pc in before Eid.,150000,USD,150000.0,gaming_pc,before Eid,amount:150000;currency:USD;amount_normalized:150000.0;purpose_canonical:gaming_pc;timeframe:before Eid
"Want to set aside ₹25,000 for trip next by Diwali.",25000,INR,25000.0,travel,by Diwali,amount:25000;currency:INR;amount_normalized:25000.0;purpose_canonical:travel;timeframe:by Diwali
Save 1.5 lakh for travel in before Eid.,150000,INR,150000.0,travel,before Eid,amount:150000;currency:INR;amount_normalized:150000.0;purpose_canonical:travel;timeframe:before Eid
"Planning to put $2,000 towards my deposit within within 2 weeks.",2000,USD,2000.0,deposit,within 2 weeks,amount:2000;currency:USD;amount_normalized:2000.0;purpose_canonical:deposit;timeframe:within 2 weeks
Want to set aside Rs. 10k for smartphone next within 3 weeks.,10000,INR,10000.0,phone,within 3 weeks,amount:10000;currency:INR;amount_normalized:10000.0;purpose_canonical:phone;timeframe:within 3 weeks
"Gotta save 1,50,000 for tuition ASAP.",150000,INR,150000.0,tuition,by next Christmas,amount:150000;currency:INR;amount_normalized:150000.0;purpose_canonical:tuition;timeframe:by next Christmas
Need 150k dollars for pc by in 5 months.,150000,INR,150000.0,gaming_pc,in 5 months,amount:150000;currency:INR;amount_normalized:150000.0;purpose_canonical:gaming_pc;timeframe:in 5 months
I need £500 by by 15 Oct 2025 to buy a emergency fund.,500,GBP,500.0,emergency_fund,by 15 Oct 2025,amount:500;currency:GBP;amount_normalized:500.0;purpose_canonical:emergency_fund;timeframe:by 15 Oct 2025
Im aiming to save £500 in within 3 weeks for emergency fund.,500,GBP,500.0,emergency_fund,within 3 weeks,amount:500;currency:GBP;amount_normalized:500.0;purpose_canonical:emergency_fund;timeframe:within 3 weeks
"Im aiming to save $2,000 in before Eid for vacation.",2000,USD,2000.0,travel,before Eid,amount:2000;currency:USD;amount_normalized:2000.0;purpose_canonical:travel;timeframe:before Eid
Want to set aside Rs. 10k for emergency fund next within 3 weeks.,10000,INR,10000.0,emergency_fund,within 3 weeks,amount:10000;currency:INR;amount_normalized:10000.0;purpose_canonical:emergency_fund;timeframe:within 3 weeks
Planning to put one fifty thousand towards my mobile within by New Year.,51000,INR,51000.0,phone,by New Year,amount:51000;currency:INR;amount_normalized:51000.0;purpose_canonical:phone;timeframe:by New Year
"Planning to put $2,000 towards my travel within within 3 weeks.",2000,USD,2000.0,travel,within 3 weeks,amount:2000;currency:USD;amount_normalized:2000.0;purpose_canonical:travel;timeframe:within 3 weeks
Im aiming to save ₹150k in by New Year for vacation.,150000,INR,150000.0,travel,by New Year,amount:150000;currency:INR;amount_normalized:150000.0;purpose_canonical:travel;timeframe:by New Year
Gotta save Rs. 10k for car ASAP.,10000,INR,10000.0,car,in 5 months,amount:10000;currency:INR;amount_normalized:10000.0;purpose_canonical:car;timeframe:in 5 months
Want to set aside £500 for wedding next in 5 months.,500,GBP,500.0,wedding,in 5 months,amount:500;currency:GBP;amount_normalized:500.0;purpose_canonical:wedding;timeframe:in 5 months
"I need $2,000 by by Diwali to buy a emergency fund.",2000,USD,2000.0,emergency_fund,by Diwali,amount:2000;currency:USD;amount_normalized:2000.0;purpose_canonical:emergency_fund;timeframe:by Diwali
Gotta save ₹150k for deposit ASAP.,150000,INR,150000.0,deposit,within 3 weeks,amount:150000;currency:INR;amount_normalized:150000.0;purpose_canonical:deposit;timeframe:within 3 weeks
Can I save one fifty thousand over the next by next Christmas for gift,51000,INR,51000.0,gift,by next Christmas,amount:51000;currency:INR;amount_normalized:51000.0;purpose_canonical:gift;timeframe:by next Christmas
Gotta save £500 for mobile ASAP.,500,GBP,500.0,phone,in 5 months,amount:500;currency:GBP;amount_normalized:500.0;purpose_canonical:phone;timeframe:in 5 months
Planning to put fifteen thousand towards my tuition within by 15 Oct 2025.,15000,INR,15000.0,tuition,by 15 Oct 2025,amount:15000;currency:INR;amount_normalized:15000.0;purpose_canonical:tuition;timeframe:by 15 Oct 2025
Want to set aside one fifty thousand for groceries next in 6 months.,51000,INR,51000.0,groceries,in 6 months,amount:51000;currency:INR;amount_normalized:51000.0;purpose_canonical:groceries;timeframe:in 6 months
"Can I save $2,000 over the next before Eid for gift",2000,USD,2000.0,gift,before Eid,amount:2000;currency:USD;amount_normalized:2000.0;purpose_canonical:gift;timeframe:before Eid
"I need 1,50,000 by within 3 weeks to buy a laptop.",150000,INR,150000.0,laptop,within 3 weeks,amount:150000;currency:INR;amount_normalized:150000.0;purpose_canonical:laptop;timeframe:within 3 weeks
Im aiming to save one hundred fifty thousand in by Diwali for wedding.,150000,INR,150000.0,wedding,by Diwali,amount:150000;currency:INR;amount_normalized:150000.0;purpose_canonical:wedding;timeframe:by Diwali
I need €3000 by by Diwali to buy a car.,3000,EUR,3000.0,car,by Diwali,amount:3000;currency:EUR;amount_normalized:3000.0;purpose_canonical:car;timeframe:by Diwali
"Need $2,000 for deposit by by Diwali.",2000,USD,2000.0,deposit,by Diwali,amount:2000;currency:USD;amount_normalized:2000.0;purpose_canonical:deposit;timeframe:by Diwali
Want to set aside 2000 USD for trip next in 6 months.,2000,USD,2000.0,travel,in 6 months,amount:2000;currency:USD;amount_normalized:2000.0;purpose_canonical:travel;timeframe:in 6 months
Planning to put 150k towards my gaming pc within in 5 months.,150000,INR,150000.0,gaming_pc,in 5 months,amount:150000;currency:INR;amount_normalized:150000.0;purpose_canonical:gaming_pc;timeframe:in 5 months
Im aiming to save 150k dollars in by 15 Oct 2025 for medical.,150000,INR,150000.0,medical,by 15 Oct 2025,amount:150000;currency:INR;amount_normalized:150000.0;purpose_canonical:medical;timeframe:by 15 Oct 2025
Save one fifty thousand for groceries in within 2 weeks.,51000,INR,51000.0,groceries,within 2 weeks,amount:51000;currency:INR;amount_normalized:51000.0;purpose_canonical:groceries;timeframe:within 2 weeks
Im aiming to save one hundred fifty thousand in this summer for emergency fund.,150000,INR,150000.0,emergency_fund,this summer,amount:150000;currency:INR;amount_normalized:150000.0;purpose_canonical:emergency_fund;timeframe:this summer
"Gotta save $2,000 for travel ASAP.",2000,USD,2000.0,travel,by New Year,amount:2000;currency:USD;amount_normalized:2000.0;purpose_canonical:travel;timeframe:by New Year
"Need $2,000 for rent by this summer.",2000,USD,2000.0,rent,this summer,amount:2000;currency:USD;amount_normalized:2000.0;purpose_canonical:rent;timeframe:this summer
Need one fifty thousand for gift by by Diwali.,51000,INR,51000.0,gift,by Diwali,amount:51000;currency:INR;amount_normalized:51000.0;purpose_canonical:gift;timeframe:by Diwali
Planning to put €3000 towards my medical within by New Year.,3000,EUR,3000.0,medical,by New Year,amount:3000;currency:EUR;amount_normalized:3000.0;purpose_canonical:medical;timeframe:by New Year
Want to set aside 1.5 lakh for rent next before Eid.,150000,INR,150000.0,rent,before Eid,amount:150000;currency:INR;amount_normalized:150000.0;purpose_canonical:rent;timeframe:before Eid
Save one hundred fifty thousand for deposit in this summer.,150000,INR,150000.0,deposit,this summer,amount:150000;currency:INR;amount_normalized:150000.0;purpose_canonical:deposit;timeframe:this summer
Can I save €3000 over the next by Diwali for gaming rig,3000,EUR,3000.0,gaming_pc,by Diwali,amount:3000;currency:EUR;amount_normalized:3000.0;purpose_canonical:gaming_pc;timeframe:by Diwali
Can I save ₹150k over the next next year for bike,150000,INR,150000.0,bike,next year,amount:150000;currency:INR;amount_normalized:150000.0;purpose_canonical:bike;timeframe:next year
Gotta save £500 for trip ASAP.,500,GBP,500.0,travel,in 6 months,amount:500;currency:GBP;amount_normalized:500.0;purpose_canonical:travel;timeframe:in 6 months
Want to set aside one hundred fifty thousand for medical next this summer.,150000,INR,150000.0,medical,this summer,amount:150000;currency:INR;amount_normalized:150000.0;purpose_canonical:medical;timeframe:this summer
Save 150k dollars for wedding in by next Christmas.,150000,INR,150000.0,wedding,by next Christmas,amount:150000;currency:INR;amount_normalized:150000.0;purpose_canonical:wedding;timeframe:by next Christmas
Can I save one hundred fifty thousand over the next by Diwali for groceries,150000,INR,150000.0,groceries,by Diwali,amount:150000;currency:INR;amount_normalized:150000.0;purpose_canonical:groceries;timeframe:by Diwali
Need 150k dollars for travel by by Diwali.,150000,INR,150000.0,travel,by Diwali,amount:150000;currency:INR;amount_normalized:150000.0;purpose_canonical:travel;timeframe:by Diwali
Want to set aside 2000 USD for emergency fund next by next Christmas.,2000,USD,2000.0,emergency_fund,by next Christmas,amount:2000;currency:USD;amount_normalized:2000.0;purpose_canonical:emergency_fund;timeframe:by next Christmas
Need ₹150k for tuition by by 15 Oct 2025.,150000,INR,150000.0,tuition,by 15 Oct 2025,amount:150000;currency:INR;amount_normalized:150000.0;purpose_canonical:tuition;timeframe:by 15 Oct 2025
Can I save 2000 USD over the next within 3 weeks for tuition,2000,USD,2000.0,tuition,within 3 weeks,amount:2000;currency:USD;amount_normalized:2000.0;purpose_canonical:tuition;timeframe:within 3 weeks
Gotta save 150k for mobile ASAP.,150000,INR,150000.0,phone,this summer,amount:150000;currency:INR;amount_normalized:150000.0;purpose_canonical:phone;timeframe:this summer
Can I save £500 over the next before Eid for tuition,500,GBP,500.0,tuition,before Eid,amount:500;currency:GBP;amount_normalized:500.0;purpose_canonical:tuition;timeframe:before Eid
Im aiming to save 1.5 lakh in next year for wedding.,150000,INR,150000.0,wedding,next year,amount:150000;currency:INR;amount_normalized:150000.0;purpose_canonical:wedding;timeframe:next year
I need $150k by next year to buy a laptop.,150000,USD,150000.0,laptop,next year,amount:150000;currency:USD;amount_normalized:150000.0;purpose_canonical:laptop;timeframe:next year
I need 1.5 lakh by in 6 months to buy a laptop.,150000,INR,150000.0,laptop,in 6 months,amount:150000;currency:INR;amount_normalized:150000.0;purpose_canonical:laptop;timeframe:in 6 months
"Save ₹25,000 for vacation in by next Christmas.",25000,INR,25000.0,travel,by next Christmas,amount:25000;currency:INR;amount_normalized:25000.0;purpose_canonical:travel;timeframe:by next Christmas
Gotta save 2000 USD for pc ASAP.,2000,USD,2000.0,gaming_pc,this summer,amount:2000;currency:USD;amount_normalized:2000.0;purpose_canonical:gaming_pc;timeframe:this summer
Can I save 1.5 lakh over the next before Eid for car,150000,INR,150000.0,car,before Eid,amount:150000;currency:INR;amount_normalized:150000.0;purpose_canonical:car;timeframe:before Eid
Need $150k for groceries by by Diwali.,150000,USD,150000.0,groceries,by Diwali,amount:150000;currency:USD;amount_normalized:150000.0;purpose_canonical:groceries;timeframe:by Diwali
"Need 1,50,000 for trip by by New Year.",150000,INR,150000.0,travel,by New Year,amount:150000;currency:INR;amount_normalized:150000.0;purpose_canonical:travel;timeframe:by New Year
"Save ₹25,000 for tuition in by next Christmas.",25000,INR,25000.0,tuition,by next Christmas,amount:25000;currency:INR;amount_normalized:25000.0;purpose_canonical:tuition;timeframe:by next Christmas
"Planning to put ₹25,000 towards my smartphone within next year.",25000,INR,25000.0,phone,next year,amount:25000;currency:INR;amount_normalized:25000.0;purpose_canonical:phone;timeframe:next year
Gotta save £500 for laptop ASAP.,500,GBP,500.0,laptop,within 2 weeks,amount:500;currency:GBP;amount_normalized:500.0;purpose_canonical:laptop;timeframe:within 2 weeks
"Planning to put $2,000 towards my pc within in 6 months.",2000,USD,2000.0,gaming_pc,in 6 months,amount:2000;currency:USD;amount_normalized:2000.0;purpose_canonical:gaming_pc;timeframe:in 6 months
"Can I save 1,50,000 over the next by 15 Oct 2025 for tuition",150000,INR,150000.0,tuition,by 15 Oct 2025,amount:150000;currency:INR;amount_normalized:150000.0;purpose_canonical:tuition;timeframe:by 15 Oct 2025
Want to set aside 1.5 lakh for groceries next before Eid.,150000,INR,150000.0,groceries,before Eid,amount:150000;currency:INR;amount_normalized:150000.0;purpose_canonical:groceries;timeframe:before Eid
"Save $2,000 for gift in in 6 months.",2000,USD,2000.0,gift,in 6 months,amount:2000;currency:USD;amount_normalized:2000.0;purpose_canonical:gift;timeframe:in 6 months
I need £500 by by Diwali to buy a vacation.,500,GBP,500.0,travel,by Diwali,amount:500;currency:GBP;amount_normalized:500.0;purpose_canonical:travel;timeframe:by Diwali
Want to set aside £500 for wedding next in 5 months.,500,GBP,500.0,wedding,in 5 months,amount:500;currency:GBP;amount_normalized:500.0;purpose_canonical:wedding;timeframe:in 5 months
Im aiming to save Rs. 10k in next year for pc.,10000,INR,10000.0,gaming_pc,next year,amount:10000;currency:INR;amount_normalized:10000.0;purpose_canonical:gaming_pc;timeframe:next year
Need one fifty thousand for laptop by within 3 weeks.,51000,INR,51000.0,laptop,within 3 weeks,amount:51000;currency:INR;amount_normalized:51000.0;purpose_canonical:laptop;timeframe:within 3 weeks
Want to set aside 2000 USD for medical next in 5 months.,2000,USD,2000.0,medical,in 5 months,amount:2000;currency:USD;amount_normalized:2000.0;purpose_canonical:medical;timeframe:in 5 months
Need ₹150k for phone by by next Christmas.,150000,INR,150000.0,phone,by next Christmas,amount:150000;currency:INR;amount_normalized:150000.0;purpose_canonical:phone;timeframe:by next Christmas
Save €3000 for gaming pc in in 5 months.,3000,EUR,3000.0,gaming_pc,in 5 months,amount:3000;currency:EUR;amount_normalized:3000.0;purpose_canonical:gaming_pc;timeframe:in 5 months
Need $150k for smartphone by by New Year.,150000,USD,150000.0,phone,by New Year,amount:150000;currency:USD;amount_normalized:150000.0;purpose_canonical:phone;timeframe:by New Year
Can I save fifteen thousand over the next next year for gaming rig,15000,INR,15000.0,gaming_pc,next year,amount:15000;currency:INR;amount_normalized:15000.0;purpose_canonical:gaming_pc;timeframe:next year
Need €3000 for emergency fund by by New Year.,3000,EUR,3000.0,emergency_fund,by New Year,amount:3000;currency:EUR;amount_normalized:3000.0;purpose_canonical:emergency_fund;timeframe:by New Year
I need one hundred fifty thousand by by next Christmas to buy a trip.,150000,INR,150000.0,travel,by next Christmas,amount:150000;currency:INR;amount_normalized:150000.0;purpose_canonical:travel;timeframe:by next Christmas
I need fifteen thousand by in 5 months to buy a bike.,15000,INR,15000.0,bike,in 5 months,amount:15000;currency:INR;amount_normalized:15000.0;purpose_canonical:bike;timeframe:in 5 months
Gotta save €3000 for medical ASAP.,3000,EUR,3000.0,medical,within 3 weeks,amount:3000;currency:EUR;amount_normalized:3000.0;purpose_canonical:medical;timeframe:within 3 weeks
Gotta save €3000 for gift ASAP.,3000,EUR,3000.0,gift,by 15 Oct 2025,amount:3000;currency:EUR;amount_normalized:3000.0;purpose_canonical:gift;timeframe:by 15 Oct 2025
"Gotta save ₹25,000 for car ASAP.",25000,INR,25000.0,car,by New Year,amount:25000;currency:INR;amount_normalized:25000.0;purpose_canonical:car;timeframe:by New Year
Save 1.5 lakh for trip in by next Christmas.,150000,INR,150000.0,travel,by next Christmas,amount:150000;currency:INR;amount_normalized:150000.0;purpose_canonical:travel;timeframe:by next Christmas
"Can I save $2,000 over the next this summer for bike",2000,USD,2000.0,bike,this summer,amount:2000;currency:USD;amount_normalized:2000.0;purpose_canonical:bike;timeframe:this summer
Need one hundred fifty thousand for wedding by by next Christmas.,150000,INR,150000.0,wedding,by next Christmas,amount:150000;currency:INR;amount_normalized:150000.0;purpose_canonical:wedding;timeframe:by next Christmas
Planning to put 2000 USD towards my pc within next year.,2000,USD,2000.0,gaming_pc,next year,amount:2000;currency:USD;amount_normalized:2000.0;purpose_canonical:gaming_pc;timeframe:next year
Want to set aside €3000 for gaming pc next by next Christmas.,3000,EUR,3000.0,gaming_pc,by next Christmas,amount:3000;currency:EUR;amount_normalized:3000.0;purpose_canonical:gaming_pc;timeframe:by next Christmas
Need €3000 for smartphone by this summer.,3000,EUR,3000.0,phone,this summer,amount:3000;currency:EUR;amount_normalized:3000.0;purpose_canonical:phone;timeframe:this summer
"Need ₹25,000 for groceries by by New Year.",25000,INR,25000.0,groceries,by New Year,amount:25000;currency:INR;amount_normalized:25000.0;purpose_canonical:groceries;timeframe:by New Year
Im aiming to save one fifty thousand in by 15 Oct 2025 for travel.,51000,INR,51000.0,travel,by 15 Oct 2025,amount:51000;currency:INR;amount_normalized:51000.0;purpose_canonical:travel;timeframe:by 15 Oct 2025
Im aiming to save one fifty thousand in by next Christmas for smartphone.,51000,INR,51000.0,phone,by next Christmas,amount:51000;currency:INR;amount_normalized:51000.0;purpose_canonical:phone;timeframe:by next Christmas
Can I save 150k over the next this summer for bike,150000,INR,150000.0,bike,this summer,amount:150000;currency:INR;amount_normalized:150000.0;purpose_canonical:bike;timeframe:this summer
Save ₹150k for vacation in by Diwali.,150000,INR,150000.0,travel,by Diwali,amount:150000;currency:INR;amount_normalized:150000.0;purpose_canonical:travel;timeframe:by Diwali
"Planning to put $2,000 towards my medical within within 2 weeks.",2000,USD,2000.0,medical,within 2 weeks,amount:2000;currency:USD;amount_normalized:2000.0;purpose_canonical:medical;timeframe:within 2 weeks
Gotta save 150k dollars for travel ASAP.,150000,INR,150000.0,travel,in 6 months,amount:150000;currency:INR;amount_normalized:150000.0;purpose_canonical:travel;timeframe:in 6 months
Gotta save 2000 USD for emergency fund ASAP.,2000,USD,2000.0,emergency_fund,within 2 weeks,amount:2000;currency:USD;amount_normalized:2000.0;purpose_canonical:emergency_fund;timeframe:within 2 weeks
"Need 1,50,000 for rent by by New Year.",150000,INR,150000.0,rent,by New Year,amount:150000;currency:INR;amount_normalized:150000.0;purpose_canonical:rent;timeframe:by New Year
Gotta save Rs. 10k for laptop ASAP.,10000,INR,10000.0,laptop,within 2 weeks,amount:10000;currency:INR;amount_normalized:10000.0;purpose_canonical:laptop;timeframe:within 2 weeks
Im aiming to save one hundred fifty thousand in by Diwali for groceries.,150000,INR,150000.0,groceries,by Diwali,amount:150000;currency:INR;amount_normalized:150000.0;purpose_canonical:groceries;timeframe:by Diwali
Need $150k for groceries by by New Year.,150000,USD,150000.0,groceries,by New Year,amount:150000;currency:USD;amount_normalized:150000.0;purpose_canonical:groceries;timeframe:by New Year
Gotta save €3000 for smartphone ASAP.,3000,EUR,3000.0,phone,within 3 weeks,amount:3000;currency:EUR;amount_normalized:3000.0;purpose_canonical:phone;timeframe:within 3 weeks
